,No.,社名,担当者名,メール,事業内容,FactLinkウェブサイト,住所
j,384,株式会社 菱光社ベトナム,谷津,yazuk@ryokosha.co.jp,創業70年以上の歴史を持つ、測定機器・検査機器・分析機器・試験機全般の精密機器総合商社！,https://www.fact-link.com.vn/mem_profile.php?id=00000984&page=00001267&lang=jp,会社名
j,387,ハスベトナム,担当者,info@hasuvn.com,日越企業の架け橋となり、自国に貢献できるようサポートします。,https://www.fact-link.com.vn/mem_profile.php?id=00001004&page=00001291&lang=jp,会社名
j,389,此花ベトナム株式会社,HIRAI,hirai@konohana.co.jp,紙袋、手提げ袋、角底袋、ショッピングバック、不織布バックの製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00001014&page=00001311&lang=jp,会社名
j,391b,三栄製作所ベトナム支社,和田,jzm00014@nifty.com,汎用旋盤・フライス盤を中心とした機械部品加工で、単品・小ロットを得意としております。,,
j,392,トゥアン・フォン電気エンジニア 株式会社,担当者,tuanphuongcpcd@gmail.com,鉄製品加工、プラズマ切断加工、亜鉛めっき処理、低・中格子電圧用電気設備生産,https://www.fact-link.com.vn/mem_profile.php?id=00001027&page=00001331&lang=jp,会社名
j,394,MHT ベトナム 株式会社,担当者,hovanhao@yahoo.com,マシニング加工、ＮＣ旋盤加工、研磨加工、表面処理、熱処理まで,https://www.fact-link.com.vn/mem_profile.php?id=00001036&page=00001342&lang=jp,会社名
j,395,ビンファット･プロダクション・トレーディング,担当者,sales@vinhphatvn.com.vn,金型設計・製作、修理･メンテナンス、プラスチック成形,https://www.fact-link.com.vn/mem_profile.php?id=00001037&page=00001348&lang=jp,会社名
j,396,株式会社グミ ベトナム,担当者,contact@gumiviet.com,ベトナムに貴社の専属チームを持つという選択肢！！ ラボ型契約“グミラボ”で戦略的開発を,https://www.fact-link.com.vn/mem_profile.php?id=00001038&page=00001352&lang=jp,会社名
j,33,名南（ベトナム）,担当者,admvn@meinan-ss.co.jp,精密部品メーカーの使命を果たす専門技術集団,https://www.fact-link.com.vn/mem_profile.php?id=00000067&page=00000138&lang=jp,会社名
j,34,矢崎EDSベトナム,担当者,yev.adm5@yev.vn,自動車用ワイヤーハーネスの製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00000068&page=00000139&lang=jp,会社名
j,39,ウイスマ エンジニアリング（ベトナム）,担当者,ohiram@wismaint.co.jp,プレスの修理と点検及び、改造、オーバーホール,https://www.fact-link.com.vn/mem_profile.php?id=00000079&page=00000150&lang=jp,会社名
j,40,日本電産トーソク・ベトナム株式会社,担当者,ntvc@nidec.co.jp,自動車部品製造・輸出,https://www.fact-link.com.vn/mem_profile.php?id=00000080&page=00000151&lang=jp,会社名
j,41,"Net Viet Technical Trading & Services Co.,Ltd.",担当者,info@netviet.vn,製造、加工及び金型の設計を専門としています。,https://www.fact-link.com.vn/mem_profile.php?id=00000083&page=00000154&lang=jp,会社名
j,42,テツゲン ベトナム,担当者,tamura@tetsugen.co.jp,水処理薬品・機器製造販売事業,https://www.fact-link.com.vn/mem_profile.php?id=00000093&page=00000165&lang=jp,会社名
j,62,ニャット・ニャン合板　有限会社,担当者,nhatnam@vanepnhatnam.com,ベトナムトップの成形合板、曲げ合板サプライヤー,https://www.fact-link.com.vn/mem_profile.php?id=00000133&page=00000207&lang=jp,会社名
j,65,サパ・ベン・タン・アルミニウムプロファイル (Sapa BTG),担当者,sapabtg@sapagroup.com,ベトナムで最も上質なアルミニウムをご提供いたします。,https://www.fact-link.com.vn/mem_profile.php?id=00000141&page=00000215&lang=jp,会社名
j,66,アドバネクス（ベトナム）,担当者,soichi_tsurusawa@advanex.co.jp,アドバネクスは、「ばね」を始めとする精密金属加工のメーカーです。「ばね」だけではなく、様々な形状・機能の金属加工製品を製造しています。,https://www.fact-link.com.vn/mem_profile.php?id=00000142&page=00000216&lang=jp,会社名
j,70,ルネサスデザインベトナム,担当者,renesas@rvc.renesas.com,各種半導体に関する研究・開発、設計、製造、販売およびサービス,https://www.fact-link.com.vn/mem_profile.php?id=00000158&page=00000231&lang=jp,会社名
j,71,ベトナムテンパール工業有限責任会社,毎熊,maiguma@tempearl.vn,配線用遮断器、漏電遮断器の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00000161&page=00000234&lang=jp,会社名
j,77,大榮産業株式会社,担当者,kiwata-wfc@hcm.vnn.vn,アルコール製造、白酒その他の酒類、調味料製造及びベトナム製品の輸出,https://www.fact-link.com.vn/mem_profile.php?id=00000176&page=00000249&lang=jp,会社名
j,81,アスザックフーズ,担当者,office@asuzacfoods.com.vn,お客様へ期待以上の価値をご提供いたします！,https://www.fact-link.com.vn/mem_profile.php?id=00000183&page=00000257&lang=jp,会社名
j,88,ハーモ ベトナム,担当者,harmo@vnn.vn,産業用ロボット（射出成形品自動取出装置）プラスチック成形機周辺合理化機器,https://www.fact-link.com.vn/mem_profile.php?id=00000203&page=00000277&lang=jp,会社名
j,89,JSWプラスチックス マシナリー ベトナム,担当者,SalesGroup_Vietnam@jsw.com.sg,日本製鋼所製のプラスチック射出成形機の販売及びメンテナンス,https://www.fact-link.com.vn/mem_profile.php?id=00000205&page=00000279&lang=jp,会社名
j,90,マタイ（ベトナム）,大久保,okubo@matai.com.vn,コンテナバッグ、保冷カバー、大型カバー、大型フィルムカバー等の製造販売,https://www.fact-link.com.vn/mem_profile.php?id=00000207&page=00000281&lang=jp,会社名
j,104,ワンダフル・サイゴン・ガーメント,担当者,wonderful-sg@hcm.vnn.vn,各種ユニフォームの生産（繊維製品のベトナム生産拠点）,https://www.fact-link.com.vn/mem_profile.php?id=00000244&page=00000318&lang=jp,会社名
j,108,リズムベトナム（サイゴン）,萩原,hagiwara@rhythmsg.com.vn,金属プレス部品（端子、積層コア、絞りケース、ブラケット、板バネ）、金属プレス金型、インサート成形品、巻線コイル（ソレノイドコイル）、メッキ（バレル、フープ）,https://www.fact-link.com.vn/mem_profile.php?id=00000255&page=00000328&lang=jp,会社名
j,110,エムテックスベトナム,担当者,mvcstaff@mvc.mtex.co.jp,自動車精密部品の製造      半導体デバイスの後工程製造,https://www.fact-link.com.vn/mem_profile.php?id=00000258&page=00000333&lang=jp,会社名
j,114,三陽製作所ベトナム,担当者,n-takahashi@ssvn.com.vn,コントロールバルブ部品、及びAT/Mの配線盤構成部品の製造、並びに販売等,https://www.fact-link.com.vn/mem_profile.php?id=00000265&page=00000339&lang=jp,会社名
j,118,ASTI ELECTRONICS CORPORATION,担当者,nq-nhat@asti.com.vn,二輪車・四輪車用ワイヤーハーネス、電子制御基板の実装～組立,https://www.fact-link.com.vn/mem_profile.php?id=00000288&page=00000362&lang=jp,会社名
j,122,ビナモールド＆メタルプロダクツ,安江,h.yasue@hondalex.co.jp,押出し形材用金型・プレス加工金型製造、熱処理業務,https://www.fact-link.com.vn/mem_profile.php?id=00000310&page=00000384&lang=jp,会社名
j,123,第一実業ベトナム,前川,takahiro.maekawa@djk.co.jp,産業用各種機械器具の販売,https://www.fact-link.com.vn/mem_profile.php?id=00000313&page=00000387&lang=jp,会社名
j,124,富士インパルスベトナム 株式会社,担当者,h.k.khoa@fujimpulsevietnam.com,小型卓上包装機械（インパルスシーラー）およびそれらの部品の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00000315&page=00000389&lang=jp,会社名
j,130,日立プラントテクノロジー（ベトナム）,担当者,quyen.pham.va@hitachi.com,社会インフラ・環境システムのトータルソリューション,https://www.fact-link.com.vn/mem_profile.php?id=00000327&page=00000402&lang=jp,会社名
j,132,新菱ベトナムコーポレーション,担当者,svn@shinryovn.com,建設業：建設設備（空調、給排水衛生、消火、電機設備）の設計・施工・メンテナンスに至る 総合的なシステムエンジニアリング,https://www.fact-link.com.vn/mem_profile.php?id=00000329&page=00000404&lang=jp,会社名
j,133,大気社ベトナム・エンジニアリング,担当者,tvemktg@taikisha-vn.com,ビル 空調、産業空調、塗装プラントのエンジニアリング,https://www.fact-link.com.vn/mem_profile.php?id=00000330&page=00000406&lang=jp,会社名
j,136,ファースト化工ベトナム,小島,kojimashu@first.gr.jp,シーリング、防水コンサルタント業務・シーリング、防水、止水工事業務,https://www.fact-link.com.vn/mem_profile.php?id=00000336&page=00000410&lang=jp,会社名
j,137,フジナミ・コンストラクション・コンサルタント,担当者,fujinamivn@hcm.fpt.vn,都市開発、土木建設、産業プロジェクト、エンジニアリング設計,https://www.fact-link.com.vn/mem_profile.php?id=00000337&page=00000412&lang=en,Company Name
j,139,フッケン･ミナミ コンサルタント,担当者,consultant@fmcvietnam.net,地盤調査、電気機械設備の設計・施工や環境調査などを主に行っております。,https://www.fact-link.com.vn/mem_profile.php?id=00000339&page=00000414&lang=en,Company Name
j,143,マエダベトナム有限会社,戸田,k_toda@maedavietnam.com.vn,総合建設業,https://www.fact-link.com.vn/mem_profile.php?id=00000350&page=00000425&lang=jp,会社名
j,147,サンヨウエンジニアリング&コンストラクション ベトナム,担当者,sechn@secvn.com,総合設備エンジニアリング業務,https://www.fact-link.com.vn/mem_profile.php?id=00000362&page=00000437&lang=jp,会社名
j,148,辰星ベトナム・エンジニアリング,担当者,info@shinseivn.com,プラントエンジニアリング事業,https://www.fact-link.com.vn/mem_profile.php?id=00000363&page=00000438&lang=en,Company Name
j,152,ベトナム戸田建設（有）,担当者,hirota@toda.com.vn,総合建設業,https://www.fact-link.com.vn/mem_profile.php?id=00000374&page=00000448&lang=jp,会社名
j,153,CBS ベトナム,担当者,tuvanthietke@cbs-vietnam.com,CADによる建設設計及び機械設計、建築専門学校運営（ホーチミン工科大学と共同）,https://www.fact-link.com.vn/mem_profile.php?id=00000375&page=00000450&lang=jp,会社名
j,155,テノックス九州 ベトナム,担当者,vtnx_minami@hcm.fpt.vn,基礎工事（地盤改良工事・PHC杭鋼管杭の中堀工法）の施工、各種基礎の設計及びコンサルタント業務,https://www.fact-link.com.vn/mem_profile.php?id=00000378&page=00000452&lang=jp,会社名
j,161,富士シティオ,担当者,fujisitio-vn@vnn.vn,食料品・水産製品・衣料品・木製品等の仕入れ業務,https://www.fact-link.com.vn/mem_profile.php?id=00000393&page=00000467&lang=jp,会社名
j,166,ベトナムJFE商事会社,担当者,h.takaki@hcm.vnn.vn,世界有数の鉄鋼メーカーであるJFEスチールをはじめとするJFEグループの中核商社,https://www.fact-link.com.vn/mem_profile.php?id=00000407&page=00000481&lang=jp,会社名
j,174,タン ルアン 株式会社,担当者,thanhluanco@vnn.vn,ベトナムで、電気めっき - 金属表面処理 - ダクロメット処理ならお任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00000427&page=00000502&lang=jp,会社名
j,196,SAI GON VRG,担当者,info@saigonvrg.com.vn,ドンナム工業団地（タンソンニャット空港まで60分）,https://www.fact-link.com.vn/mem_profile.php?id=00000498&page=00000574&lang=jp,会社名
j,200,Saigon Sky Garden,担当者,sales@saigonskygarden.com.vn,,https://www.fact-link.com.vn/mem_profile.php?id=00000527&page=00000602&lang=jp,会社名
j,2,ケーティーシー ベトナム 株式会社　KTC (VIETNAM),,ktc-001@ktc-vn.vn,精密ゴム成形、自動車用ゴム部品、オートバイ用ゴム部品、OAゴムローラ、携帯電話用ゴム部品、B練り製造,https://www.fact-link.com.vn/mem_profile.php?id=00000116&page=00000189&lang=jp,会社名
j,3,永大化工ベトナム,,kakisaka-t@eidaikako.co.jp,合成樹脂異型押出成形加工の専門メーカー！自動車部品（フロアーマット）・プラスチック製品の製造,https://www.fact-link.com.vn/mem_profile.php?id=00000201&page=00000276&lang=jp,会社名
j,4,株式会社　アキバコーティング ＆ テクノロジー ベトナム,,yagyu@actv.com.vn,金属表面処理めっき加工、絶縁専門電着塗装,https://www.fact-link.com.vn/mem_profile.php?id=00000295&page=00000369&lang=jp,会社名
j,5,SG 佐川ベトナム有限会社,,contact@sgh-global.com,国内・国際引越し・国内輸送事業、倉庫業、フォワーディング事業、通関業、貨物検定業,https://www.fact-link.com.vn/mem_profile.php?id=00000823&page=00000958&lang=jp,会社名
j,6,サトーベトナムソリューションズ,,mai.tanaka@sato-global.com,ベトナムでRFID技術、バーコード、ラベル、アプリケーションソリューションのことならサトーベトナムソリューションズへ,https://www.fact-link.com.vn/mem_profile.php?id=00000858&page=00001029&lang=jp,会社名
j,7,オリスター株式会社,,info@oristar.vn,ベトナムにおける非鉄金属業界のリーディングサプライヤー,https://www.fact-link.com.vn/mem_profile.php?id=00001107&page=00001476&lang=jp,会社名
j,8,五十鈴テック ベトナム,,nguyen-luan@isuzutec.com.vn,ＦＡテクノロジーの可能性に挑戦 ・自動化ニーズの最適化をめざして。各種産業用装置の企画（構想）～設計～製作～調整まで）,https://www.fact-link.com.vn/mem_profile.php?id=00001221&page=00001715&lang=jp,会社名
j,9,QUANG NGHI SERVICE AND TRADING-PRODUCT COMPANY LIMITED,,nhihuynh@quangnghivn.com,乾燥剤（シリカゲル）、防湿パッケージの製造と販売。製品、工場、出荷などに対する効果的なカビ防止ソリューションのコンサルティングと提供,https://www.fact-link.com.vn/mem_profile.php?id=00001975&page=00002693&lang=jp,会社名
j,10,タイコー ベトナム,,takanoriimai79@taicovn.com.vn,金属加工（板金、切削、鋳造、ロスト、ダイカスト、押出、線材加工、溶接、表面処理 等） 樹脂加工（射出成形、ゴム成形、ウレタン成形、ブロー・真空成形 等） アッセンブリー,https://www.fact-link.com.vn/mem_profile.php?id=00002045&page=00002769&lang=jp,会社名
j,11,ジーケー・ファインケム ベトナム,,kuroki@gkfvn.com,化学品（試薬・高純度薬品・工業用基礎薬品・工業用溶剤）の輸入販売,https://www.fact-link.com.vn/mem_profile.php?id=00002487&page=00003184&lang=jp,会社名
j,13,ツバサ ペイント,,info@tsubasa-paint.com,製造業向け溶剤塗料をベトナム国内で生産する塗料メーカーです。工業分野（金属・プラスチック）、建築分野（鉄骨・床）,https://www.fact-link.com.vn/mem_profile.php?id=00051625&page=00005185&lang=jp,会社名
j,14,東京鋲兼（ベトナム）,,n.yano@byokane.com.vn,ネジ・締結部品、合成樹脂製品、スプリング部品、バネ部品の製造販売・輸入加工販売,https://www.fact-link.com.vn/mem_profile.php?id=00001100&page=00001470&lang=jp,会社名
j,15,Hamasho Corporation (Vietnam) Ltd.,,wataru.kawarai@hamasho.com.vn,YAMAHAロボット、Dobotロボットのベトナム正規代理店。自動化のトータルソリューションはお任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00056351&page=00006357&lang=jp,会社名
j,16,西東京ケミックスベトナム,,n.thao@nishi-tokyo.co.jp,化学品専門商社。ベトナムに危険物保管可能な保税物倉庫を保有。,https://www.fact-link.com.vn/mem_profile.php?id=00056417&page=00006401&lang=jp,会社名
j,17,カイメタル アジア,,futa@kotobukisangyo.co.jp,お客様にとって小回りの利く《精密板金加工メーカー》！　レーザー加工、精密板金、筐体設計、板金設計、粉体塗装、シルク印刷,https://www.fact-link.com.vn/mem_profile.php?id=00000988&page=00001270&lang=jp,会社名
j,18,TPR ベトナム,,makoto.yokouchi@tpr-global.com,エンジン部品、FA機器部品、電装部品、樹脂部品の製造。 ゴム製品加工、樹脂成形加工,https://www.fact-link.com.vn/mem_profile.php?id=00000875&page=00001068&lang=jp,会社名
j,19,三位化学株式会社,,sanmi@msc.biglobe.ne.jp,エンプラ成形（特にガラス繊維樹脂）、複合材料成形、小ロット成形、プラスチック製品・ゴム製品・鉄製品　何でも！ご相談ください 。,https://www.fact-link.com.vn/mem_profile.php?id=00001055&page=00001402&lang=jp,会社名
j,20,"NBV (Vietnam) Co.,Ltd.",,k-hatanaka@nbv-vietnam.com,鉄、アルミ、ステンレス材の板金・プレス加工、溶接、パイプ加工および組立,https://www.fact-link.com.vn/mem_profile.php?id=00001560&page=00002165&lang=jp,会社名
j,21,エイチフィールド ベトナム,,shingo.h@hamada-y.co.jp,商品パッケージメーカー。軟包材の製造、及びパッケージデザイン企画から製造・販売。紙箱・ラベル・不織布バッグ・プラスチックケース・保冷剤等。,https://www.fact-link.com.vn/mem_profile.php?id=00043527&page=00003734&lang=jp,会社名
j,22,D.I.D ベトナム（大同工業グループ）,,didvietnam2023@gmail.com,バイク用・自動車用タイミングチェーン (カムチェーン)、バイク用ドライブローラチェーン、産業用ローラチェーン,https://www.fact-link.com.vn/mem_profile.php?id=00056051&page=00006155&lang=jp,会社名
j,23,ジャパン・プラス ベトナム,,japanplusvn@gmail.com,プラスチック真空成型品の設計・製造・販売。包装資材、プラスチックトレイ、パッケージ、ブリスターパック、梱包資材、規格トレイ、オーダートレイ、フィルム緩衝材。PETシートの製造・販売。,https://www.fact-link.com.vn/mem_profile.php?id=00000925&page=00002040&lang=jp,会社名
j,24,Tokoseiki ベトナム,,xuanbui@tokoseiki.vn,顧客に共に歩み、金型設計から完成品まで最適化します。,https://www.fact-link.com.vn/mem_profile.php?id=00054821&page=00005431&lang=jp,会社名
j,25,SAIGON TRAPACO（サイゴン チャパコ）,,trapaco@saigontrapaco.com.vn,軟包装資材の製造・販売（印刷、ラミネート加工、スリット、製袋） 、包装原材料の仕入販売,https://www.fact-link.com.vn/mem_profile.php?id=00000006&page=00000002&lang=jp,会社名
j,26,北陸マシナリークラブ株式会社(HMC),,ando@h-techno.com,アルミ溶解炉・保持炉・熱処理炉・加熱炉・乾燥機の製作・販売・修理、集塵機等の周辺機器設備の販売,https://www.fact-link.com.vn/mem_profile.php?id=00050699&page=00004924&lang=jp,会社名
j,27,キワ インダストリー,,hung@kiwa-industry.com,機械加工（マシニング、NCフライス、NC旋盤、ワイヤーカット、研磨、ギア）、設備設計製作（専用機製作、設計事業）メッキ（アルマイト処理、電解・無電解ニッケメッキ、黒染め）,https://www.fact-link.com.vn/mem_profile.php?id=00000808&page=00000935&lang=jp,会社名
j,28,マルセエンジニアリング（ベトナム）株式会社,,y_kubo@maruse-k.com,ベトナム国内でミウラのボイラの販売・メンテナンス・アフターサービスを提供致します。,https://www.fact-link.com.vn/mem_profile.php?id=00051631&page=00005188&lang=jp,会社名
j,29,JUKIベトナム（株）,,yuuto.fukasawa@juki.com,精密鋳造（ロストワックス）・機械加工・熱処理・表面処理・組み立て・検査とモノづくりのワンストップ企業,https://www.fact-link.com.vn/mem_profile.php?id=00051642&page=00005202&lang=jp,会社名
j,30,シーベスト 株式会社,,admin@seebest.vn,精密部品加工のエキスパート?医療機器部品、自動車部品、検査治工具,https://www.fact-link.com.vn/mem_profile.php?id=00001018&page=00001323&lang=jp,会社名
j,31,レーザーテクノロジー株式会社（LASER TECHNOLOGY.JSC）,,h-chuong@lasertech-vn.com,精密板金加工とパイプ加工のスペシャリスト,https://www.fact-link.com.vn/mem_profile.php?id=00056172&page=00006282&lang=jp,会社名
j,32,"YASHIMA NBV CO., Ltd.",,s-furuka@yashima-vn.com,鉄・ステンレス板の板金・製缶加工及び組み立て・塗装。プルボックス、ダクト、ラック、アルミ加工,https://www.fact-link.com.vn/mem_profile.php?id=00054813&page=00005458&lang=jp,会社名
j,401,ナガセベトナム,,Maint@nagase.com.vn,化学品、合成樹脂、電子材料、化粧品、健康食品等の輸出・輸入及び国内販売,https://www.fact-link.com.vn/mem_profile.php?id=00001067&page=00001417&lang=jp,会社名
j,402,ヒップ フック タン 株式会社,,cuong.tong@pte.vn,金属・樹脂めっき｜プラスチック射出成形｜プラスチック塗装,https://www.fact-link.com.vn/mem_profile.php?id=00001070&page=00001423&lang=jp,会社名
j,404,TP プレシジョン 株式会社,,info@tpprecision.com,スイス型自動旋盤およびCNC加工による超精密機械部品の製造,https://www.fact-link.com.vn/mem_profile.php?id=00001085&page=00001442&lang=jp,会社名
j,405,桜テクノロジー プラスチック　株式会社,,danh.nguyen@sakuraplastic.com,クリーンルーム内でプラスチック射出成形・検査を行っております！,https://www.fact-link.com.vn/mem_profile.php?id=00001086&page=00001439&lang=jp,会社名
j,406,ベトナム水都（スイト）株式会社,,suitovn@gmail.com,環境、水処理の設備、装置の計画、販売、施行、管理、メンテナンス、水都工業の代理店,https://www.fact-link.com.vn/mem_profile.php?id=00001096&page=00001462&lang=jp,会社名
j,409,QTC テクノロジー,,qtc@qtctech.com.vn,板金加工におけるリーディングカンパニー！,https://www.fact-link.com.vn/mem_profile.php?id=00001113&page=00001519&lang=jp,会社名
j,410,ニャット ロング メカニカル エンジニアリング 株式会社,,cokhi@nhatlong.com.vn,最新設備を導入し、機械設備部品・スペアパーツの製造を得意としております！,https://www.fact-link.com.vn/mem_profile.php?id=00001114&page=00001527&lang=jp,会社名
j,411,"Visin Heater Co.,Ltd",,dientrovietsinh@gmail.com,あらゆる産業用抵抗加熱ヒーターを製造しております。,https://www.fact-link.com.vn/mem_profile.php?id=00001118&page=00001533&lang=jp,会社名
j,413,ビナビット ファステナー 株式会社,,sales@vinavit.com,締結部品の製造・販売（ボルト、スクリュー、ナット等）,https://www.fact-link.com.vn/mem_profile.php?id=00001127&page=00001557&lang=jp,会社名
j,414,伊昭ベトナム株式会社,,kira@ishovn.com,1個から板金加工製品をご提供させて頂いております。,https://www.fact-link.com.vn/mem_profile.php?id=00001129&page=00001559&lang=jp,会社名
